gene,cluster,study,cluster_study,class,timing
RPL18A,NPC_prenatal,psychENCODE,NPC_prenatal_psychENCODE,progenitor,precursor
RPL7,NPC_prenatal,psychENCODE,NPC_prenatal_psychENCODE,progenitor,precursor
EEF1A1,NPC_prenatal,psychENCODE,NPC_prenatal_psychENCODE,progenitor,precursor
RPL3P7,NPC_prenatal,psychENCODE,NPC_prenatal_psychENCODE,progenitor,precursor
RP4-604A21.1,NPC_prenatal,psychENCODE,NPC_prenatal_psychENCODE,progenitor,precursor
HMGA2,NPC_prenatal,psychENCODE,NPC_prenatal_psychENCODE,progenitor,precursor
TMSB15A,NPC_prenatal,psychENCODE,NPC_prenatal_psychENCODE,progenitor,precursor
NPM1,NPC_prenatal,psychENCODE,NPC_prenatal_psychENCODE,progenitor,precursor
RPL41,NPC_prenatal,psychENCODE,NPC_prenatal_psychENCODE,progenitor,precursor
RPL7A,NPC_prenatal,psychENCODE,NPC_prenatal_psychENCODE,progenitor,precursor
EEF1A1P5,NPC_prenatal,psychENCODE,NPC_prenatal_psychENCODE,progenitor,precursor
RPL3,NPC_prenatal,psychENCODE,NPC_prenatal_psychENCODE,progenitor,precursor
RPLP0,NPC_prenatal,psychENCODE,NPC_prenatal_psychENCODE,progenitor,precursor
HNRNPA1,NPC_prenatal,psychENCODE,NPC_prenatal_psychENCODE,progenitor,precursor
FEZF1,NPC_prenatal,psychENCODE,NPC_prenatal_psychENCODE,progenitor,precursor
HBE1,NPC_prenatal,psychENCODE,NPC_prenatal_psychENCODE,progenitor,precursor
GAPDH,NPC_prenatal,psychENCODE,NPC_prenatal_psychENCODE,progenitor,precursor
HMGN2P5,NPC_prenatal,psychENCODE,NPC_prenatal_psychENCODE,progenitor,precursor
C14ORF23,NPC_prenatal,psychENCODE,NPC_prenatal_psychENCODE,progenitor,precursor
LIX1,NPC_prenatal,psychENCODE,NPC_prenatal_psychENCODE,progenitor,precursor
RPL5,NPC_prenatal,psychENCODE,NPC_prenatal_psychENCODE,progenitor,precursor
GNB2L1,NPC_prenatal,psychENCODE,NPC_prenatal_psychENCODE,progenitor,precursor
COL2A1,NPC_prenatal,psychENCODE,NPC_prenatal_psychENCODE,progenitor,precursor
UBE2C,NPC_prenatal,psychENCODE,NPC_prenatal_psychENCODE,progenitor,precursor
OTX2,NPC_prenatal,psychENCODE,NPC_prenatal_psychENCODE,progenitor,precursor
RPSA,NPC_prenatal,psychENCODE,NPC_prenatal_psychENCODE,progenitor,precursor
TRIM59,NPC_prenatal,psychENCODE,NPC_prenatal_psychENCODE,progenitor,precursor
TPI1,NPC_prenatal,psychENCODE,NPC_prenatal_psychENCODE,progenitor,precursor
ENO1,NPC_prenatal,psychENCODE,NPC_prenatal_psychENCODE,progenitor,precursor
BIRC5,NPC_prenatal,psychENCODE,NPC_prenatal_psychENCODE,progenitor,precursor
ACTG1,NPC_prenatal,psychENCODE,NPC_prenatal_psychENCODE,progenitor,precursor
TPI1P1,NPC_prenatal,psychENCODE,NPC_prenatal_psychENCODE,progenitor,precursor
RPL13AP5,NPC_prenatal,psychENCODE,NPC_prenatal_psychENCODE,progenitor,precursor
FAM60A,NPC_prenatal,psychENCODE,NPC_prenatal_psychENCODE,progenitor,precursor
IGF2BP1,NPC_prenatal,psychENCODE,NPC_prenatal_psychENCODE,progenitor,precursor
HMGB2,NPC_prenatal,psychENCODE,NPC_prenatal_psychENCODE,progenitor,precursor
RPL41,NPC_prenatal,psychENCODE,NPC_prenatal_psychENCODE,progenitor,precursor
PKM,NPC_prenatal,psychENCODE,NPC_prenatal_psychENCODE,progenitor,precursor
COL6A3,NPC_prenatal,psychENCODE,NPC_prenatal_psychENCODE,progenitor,precursor
DPPA4,NPC_prenatal,psychENCODE,NPC_prenatal_psychENCODE,progenitor,precursor
TNR,Oligo_prenatal,psychENCODE,Oligo_prenatal_psychENCODE,oligodendrocyte,mature
SPC25,Oligo_prenatal,psychENCODE,Oligo_prenatal_psychENCODE,oligodendrocyte,mature
CLDN11,Oligo_prenatal,psychENCODE,Oligo_prenatal_psychENCODE,oligodendrocyte,mature
LRRC4C,Oligo_prenatal,psychENCODE,Oligo_prenatal_psychENCODE,oligodendrocyte,mature
BCAS1,Oligo_prenatal,psychENCODE,Oligo_prenatal_psychENCODE,oligodendrocyte,mature
GLRA3,Oligo_prenatal,psychENCODE,Oligo_prenatal_psychENCODE,oligodendrocyte,mature
HIST1H3C,Oligo_prenatal,psychENCODE,Oligo_prenatal_psychENCODE,oligodendrocyte,mature
KIAA1524,Oligo_prenatal,psychENCODE,Oligo_prenatal_psychENCODE,oligodendrocyte,mature
C2ORF80,Oligo_prenatal,psychENCODE,Oligo_prenatal_psychENCODE,oligodendrocyte,mature
KANK1,Oligo_prenatal,psychENCODE,Oligo_prenatal_psychENCODE,oligodendrocyte,mature
APOD,Oligo_prenatal,psychENCODE,Oligo_prenatal_psychENCODE,oligodendrocyte,mature
P2RX7,Oligo_prenatal,psychENCODE,Oligo_prenatal_psychENCODE,oligodendrocyte,mature
MMP16,Oligo_prenatal,psychENCODE,Oligo_prenatal_psychENCODE,oligodendrocyte,mature
IL1RAP,Oligo_prenatal,psychENCODE,Oligo_prenatal_psychENCODE,oligodendrocyte,mature
SLC44A1,Oligo_prenatal,psychENCODE,Oligo_prenatal_psychENCODE,oligodendrocyte,mature
SIRT2,Oligo_prenatal,psychENCODE,Oligo_prenatal_psychENCODE,oligodendrocyte,mature
PGM3,Oligo_prenatal,psychENCODE,Oligo_prenatal_psychENCODE,oligodendrocyte,mature
RP11-673C5.1,Oligo_prenatal,psychENCODE,Oligo_prenatal_psychENCODE,oligodendrocyte,mature
SLC16A10,Oligo_prenatal,psychENCODE,Oligo_prenatal_psychENCODE,oligodendrocyte,mature
ENPP6,Oligo_prenatal,psychENCODE,Oligo_prenatal_psychENCODE,oligodendrocyte,mature
LIMS2,Oligo_prenatal,psychENCODE,Oligo_prenatal_psychENCODE,oligodendrocyte,mature
ARHGAP11A,Oligo_prenatal,psychENCODE,Oligo_prenatal_psychENCODE,oligodendrocyte,mature
COL9A1,Oligo_prenatal,psychENCODE,Oligo_prenatal_psychENCODE,oligodendrocyte,mature
CNP,Oligo_prenatal,psychENCODE,Oligo_prenatal_psychENCODE,oligodendrocyte,mature
OMG,Oligo_prenatal,psychENCODE,Oligo_prenatal_psychENCODE,oligodendrocyte,mature
RP11-35N6.1,Oligo_prenatal,psychENCODE,Oligo_prenatal_psychENCODE,oligodendrocyte,mature
SCRG1,Oligo_prenatal,psychENCODE,Oligo_prenatal_psychENCODE,oligodendrocyte,mature
PDGFRA,Oligo_prenatal,psychENCODE,Oligo_prenatal_psychENCODE,oligodendrocyte,mature
