symbols,n_windows
NLGN4X,10
BRINP1,10
SLITRK2,9
PTPRE,9
CADM2,8
PHLPP1,7
KIF5A,7
SNAP25,7
SERINC5,7
OMG,6
YWHAB,5
SEMA6D,5
TSPAN7,5
THY1,5
COX6C,5
SON,4
GLCCI1,4
S100B,4
CFL1,4
ARL4A,4
PRKCA,4
SLC22A17,4
ARSB,4
EEF2,4
PEAK1,4
MAML2,4
BEX1,4
PRRC2C,4
SRRM1,4
ATP6V0E1,3
COX7C,3
RSRC2,3
CHIC2,3
AFAP1L2,3
KLRC2,3
RPS27L,3
SLC25A5,3
PLLP,3
RPS27,3
UQCRB,3
HNRNPK,3
VCAN,3
ANKS1B,3
HIP1,3
PCDH11X,3
RPS13,2
SKIL,2
GPR17,2
HMGB1,2
ST3GAL5,2
CAMSAP2,2
DCX,2
RPL13A,2
SAR1B,2
SRP14,2
SRSF3,2
RPL34,2
H3F3B,2
SPCS3,2
B3GNT7,2
NDUFA4,2
SCRG1,2
RPS21,2
REEP3,2
ERBB3,2
LUZP2,2
KIF5B,2
PEBP1,2
COX8A,2
CNPY2,1
NTM,1
RPL31,1
DDX5,1
HNRNPH1,1
RPL39,1
NDUFB3,1
FAU,1
RPS17,1
RPL21,1
TPT1,1
SERPINE2,1
RPL9,1
WTAP,1
RPL27,1
LRRN1,1
B2M,1
CCDC88A,1
WASF1,1
HNRNPA2B1,1
CLDND1,1
RPS12,1
SERF2,1
