symbols,n_windows
NLGN4X,10
CXCL14,10
SLITRK2,9
MPC1,8
NREP,8
CADM2,8
FAT3,8
ATP1B2,7
SYT11,7
SEMA6A,7
PHLPP1,7
SDC2,6
SLC25A48,6
HIF3A,6
CST3,5
TSPAN7,5
KMT2C,5
SEMA6D,5
CSPG5,5
JAM2,5
CFL1,4
H2AFZ,4
NFIB,4
GABBR2,4
S100B,4
NRXN1,4
NBPF10,4
SLC25A5,3
TMEM132B,3
SPARCL1,3
OLFM2,3
GNG5,3
MT2A,3
SLC13A5,3
RORA,3
PTPRD,3
BMPR1B,3
GLG1,3
FRMD4A,3
NDUFA4,2
ENHO,2
HTRA1,2
MT1X,2
RPL34,2
SRSF3,2
SLC16A1,2
ARHGAP5,2
SH3GL2,2
MT1E,2
SEL1L3,2
CAMK2G,2
PRNP,2
TRIM9,2
NLGN1,2
SCRG1,2
LUZP2,2
AGT,2
RAMP1,1
FTL,1
HOPX,1
EFHD2,1
MT3,1
LRRN1,1
DDX5,1
ZFYVE21,1
MT1F,1
HNRNPH1,1
GPR37L1,1
CSGALNACT1,1
DUSP6,1
NTM,1
SERPINE2,1
DAD1,1
B2M,1
RIN2,1
CTNNB1,1
HNRNPA2B1,1
DOK5,1
GFAP,1
CLDND1,1
ALDOC,1
RNF13,1
