symbols,n_windows
GNG7,10
HSPH1,10
SIPA1L2,10
CDKN1A,9
PTPRE,9
PHACTR1,8
USP2,8
NFKB1,8
HERPUD1,8
PPP3CA,7
SGK1,7
CDK2AP2,7
CKS2,7
GPR183,7
SEC14L1,7
TRIB1,6
ANKRD12,6
BRD2,6
SAMSN1,6
GLA,6
NOP10,5
DNAJB11,5
TGOLN2,5
KCTD12,5
GPR34,5
CREM,5
RHOB,5
YWHAB,5
CYFIP1,5
CIT,5
MEF2A,5
CSRNP1,5
RAB7A,4
SLC8A1,4
POGZ,4
MMRN1,4
H2AFZ,4
PRRC2C,4
SON,4
EEF2,4
TBL1XR1,4
CDCA3,4
TLN2,4
CFL1,4
GADD45B,4
LYVE1,4
B4GALT1,4
ARHGAP25,3
LPAR6,3
NR4A1,3
NCKAP1L,3
PTP4A2,3
RPS27,3
TREM2,3
SOCS3,3
SIVA1,3
GNG5,3
PMAIP1,3
H2AFX,3
MAP3K2,3
PCNA,3
IRF8,3
JUNB,3
RPS27L,3
PTAFR,3
ITGAX,3
HPGDS,3
BARD1,3
DOCK8,3
SLC25A5,3
ATP6V0E1,3
FRMD4A,3
TAL1,3
RGS2,3
HIF1A,3
CLSPN,3
KLF10,3
ZFAND5,3
CLEC7A,2
DUSP1,2
TBXAS1,2
SKIL,2
IL6R,2
SLC7A8,2
RPL13A,2
TLR7,2
HMGB1,2
H3F3B,2
FAM49B,2
SRSF3,2
C5AR2,2
RPL34,2
EGR2,2
CREG1,2
APBB1IP,2
DNAJB6,2
MFSD1,2
HTRA1,2
CDKN2C,2
RPS13,2
GPX1,2
RPN2,2
RPS21,2
SRGAP2C,2
ATF3,2
C3AR1,2
DDX3X,2
EGR3,2
NAA20,1
DTYMK,1
AMD1,1
TACC1,1
DAGLB,1
RPL27,1
CYBB,1
RPL9,1
MIS18BP1,1
MAP1LC3B,1
RB1,1
FTL,1
ADAP2,1
FAU,1
FOSB,1
KLF2,1
MX1,1
UCP2,1
LIMS1,1
RPL31,1
DLGAP5,1
RPL21,1
CXCL8,1
EIF5,1
DDX5,1
RPS12,1
B2M,1
MAFF,1
CDC42,1
MPEG1,1
ARHGAP26,1
EML4,1
HNRNPA2B1,1
MYLIP,1
DOCK4,1
CD83,1
ELF1,1
TYROBP,1
RIN2,1
STK4,1
SRGN,1
IPCEF1,1
CCDC88A,1
DUSP6,1
KLF4,1
TPT1,1
SERF2,1
