symbols,n_windows
PLCB1,10
RNF19A,10
HSPH1,10
PCDH7,10
IRF2BP2,10
NLGN4X,10
THBS1,10
CHGB,9
LDLRAD4,9
TIAM2,9
MTPN,9
CAMK4,9
CYCS,9
MPC1,8
DLG1,8
FAT3,8
RNF157,8
SLC4A10,8
UQCR10,8
NREP,8
DLGAP1,8
PHACTR1,8
ASTN2,8
CADM2,8
CACNB4,8
TSC22D2,7
SERINC5,7
KIF5A,7
PPP3CA,7
WASF3,7
ATP1B2,7
SMAD9,7
FRY,7
SNAP25,7
SEMA6A,7
DOCK9,7
RAPGEFL1,7
SYT11,7
TMED4,7
OPCML,7
BRD2,6
CAMK2N1,6
SLITRK1,6
ARID4B,6
SF3B5,6
CACNA1G,6
ANKRD12,6
NAPG,6
ARF6,6
LDOC1,6
CLSTN2,6
NPTN,6
KIF5C,6
SPTBN1,5
FGF13,5
HMGN3,5
HECTD4,5
YWHAB,5
TSPAN7,5
RORB,5
CAMTA1,5
HECW1,5
RAB12,5
HNRNPA1L2,5
KCTD12,5
BRAF,5
NCOR1,5
B3GALT1,5
ZMYND8,5
CLOCK,5
PIAS2,5
CDC42EP3,5
RAP2B,5
KMT2C,5
COX6C,5
PRKCE,5
VAMP2,5
DNAJB11,5
SOX5,5
SLC23A2,5
AEBP2,5
STAU1,5
CAPZA2,5
MYH10,4
SON,4
HNRNPA0,4
NRXN1,4
PUM1,4
PRRC2C,4
UBR2,4
TANC2,4
LAMA5,4
ACSL3,4
CFL1,4
BCL11A,4
LINGO1,4
CELF1,4
SLC8A1,4
H2AFZ,4
GNG3,4
HOOK3,4
SORCS1,4
ZBTB18,4
GABBR2,4
SRRM1,4
RAB7A,4
PPP1R12A,4
KCNQ3,4
NFIB,4
ARSB,4
REEP5,4
KLHL23,4
SETBP1,4
MAGI2,4
BEX1,4
DLGAP4,4
MTSS1,4
SS18L2,4
PRKCA,4
ARL4A,4
DAZAP2,4
TBL1XR1,4
SHANK2,4
AMER2,4
EEF2,4
DCLRE1C,4
CAMKK2,4
DDX24,4
RBFOX1,4
SLC22A17,4
CHCHD2,3
YIPF3,3
ARPP19,3
YIPF4,3
ZFAND5,3
IGSF21,3
COX7C,3
VSNL1,3
MPC2,3
BMPR1B,3
SLC25A5,3
SORBS1,3
ARL17B,3
SEC61B,3
NDUFB6,3
RSRC2,3
GLG1,3
USP6NL,3
RWDD1,3
GPHN,3
UQCRB,3
RPS27,3
VPS13C,3
PAN3,3
GPIHBP1,3
NDUFB2,3
LIN7C,3
MAP3K2,3
BCL10,3
POU3F2,3
LRRN3,3
CBR4,3
SCG2,3
ANKS1B,3
CNRIP1,3
COX20,3
CAMKV,3
HNRNPK,3
DGKI,3
RALGAPA1,3
ANKRD17,3
CD200,3
ADCY1,3
KIF1B,3
PTPRD,3
EPM2AIP1,3
POU2F2,3
VCAN,3
CELF2,3
FRMD4A,3
NUDT3,3
ZBTB34,3
MYO9A,3
HIF1A,3
ARL17A,2
SRGAP2C,2
RPS21,2
STAM,2
NKAIN1,2
SCG5,2
FRRS1L,2
NDUFA4,2
BMPR2,2
BEX4,2
SEC61G,2
PTPN2,2
SOBP,2
CLMP,2
PEG3,2
CDKL5,2
SUPT20H,2
DDX3X,2
CCSAP,2
SRP14,2
DNAJB6,2
ZNF131,2
SETD7,2
ITSN1,2
PRDM8,2
RPL34,2
COX6A1,2
PTCHD4,2
SH3GL2,2
TSC22D1,2
HMGB1,2
SPCS1,2
SEL1L3,2
FAM49B,2
FAM45A,2
TMED2,2
H3F3B,2
TRAK1,2
PALMD,2
RPL13A,2
ZNF518A,2
SKIL,2
SRSF3,2
TALDO1,2
FOXO3,2
ZNF280D,2
NDUFB9,2
SPCS3,2
RPS13,2
SLC24A2,2
LGI4,2
CELSR2,2
HINT1,2
STXBP1,2
STMN4,2
GNAO1,2
COX8A,2
TRIM33,2
LMO7,2
PEBP1,2
LTBP4,2
KIF5B,2
SYT6,2
LUZP2,2
NLGN1,2
DGKH,2
KCNJ6,2
MAPT,2
BASP1,2
DCLK1,2
CDC42BPA,2
YWHAG,2
DCX,2
SORBS2,2
ARID2,2
STX3,2
REV1,2
CAMSAP2,2
OLFM1,2
DPY19L2,2
PHACTR4,2
NFAT5,2
RPN2,2
ISLR2,2
DCUN1D4,1
FTL,1
GPR22,1
DDX18,1
BTG1,1
RYR2,1
SLC26A4,1
NDUFA5,1
TPT1,1
LARP1B,1
RSBN1,1
EIF5,1
CSGALNACT1,1
RICTOR,1
RPL27,1
DNAJB14,1
SPOP,1
BNIP3L,1
RPL9,1
EML6,1
IGFBPL1,1
RPL31,1
RCAN1,1
HNRNPH1,1
CMC2,1
RNF182,1
NTM,1
KATNBL1,1
RPL21,1
WTAP,1
SERF2,1
ACAP3,1
DDX5,1
RBM3,1
RPS17,1
ERP44,1
FAU,1
CEP85L,1
PSMD6,1
RPL39,1
CCNT2,1
BCAP29,1
SMARCD1,1
CSMD2,1
ZKSCAN1,1
TTLL7,1
SPTAN1,1
DAD1,1
PSMB6,1
SEMA3A,1
DOK6,1
NUMB,1
TMEM108,1
NFASC,1
NAV2,1
TP53I11,1
ATP6V1G2,1
CDC42,1
SSBP3,1
WDR60,1
ATXN1,1
TOB1,1
GRIA3,1
WASF1,1
DOK5,1
NBEA,1
RPS12,1
CCDC88A,1
RBX1,1
EPHA4,1
TMOD1,1
GABARAPL2,1
EXOSC6,1
MYLIP,1
MYO1C,1
NDUFB1,1
DOCK4,1
FAM171B,1
DGUOK,1
MDH1,1
CTNNB1,1
INO80D,1
RTN1,1
MYO5A,1
ZNF891,1
HNRNPA2B1,1
RNF5,1
