symbols,n_windows
ARID1B,10
HSPH1,10
CUX1,10
PHACTR1,8
NREP,8
PPP3CA,7
SNAP25,7
TSC22D2,7
KIF5A,7
SERINC5,7
SEMA6A,7
CAMK2N1,6
ANKRD12,6
BRD2,6
PDZRN3,6
ARID4B,6
RAP2B,5
PIAS2,5
DLX5,5
NCOR1,5
YWHAB,5
HNRNPA1L2,5
CAMTA1,5
COX6C,5
PROX1,5
DLX6,5
SPTBN1,5
RHOB,5
SON,4
DLX2,4
GLCCI1,4
TIAM1,4
AMER2,4
HOOK3,4
PPP1R12A,4
NFIB,4
PRKCA,4
CFL1,4
NRXN1,4
H2AFZ,4
HNRNPA0,4
EEF2,4
MTSS1,4
MAGI2,4
SRRM1,4
WNK1,4
BCL11A,4
POGZ,4
PRRC2C,4
AP1G1,3
BRINP2,3
GPIHBP1,3
RPS27,3
COX7C,3
PTPRD,3
KIF1B,3
RSRC2,3
CELF2,3
VCAN,3
ANKS1B,3
MAPK1IP1L,3
RBM5,3
HNRNPK,3
SLAIN1,2
ATRNL1,2
ARL4C,2
BMPR2,2
NDUFA4,2
HMGB1,2
RPS13,2
H3F3B,2
SRP14,2
RPL13A,2
RPS21,2
SRSF3,2
COX6A1,2
DUSP1,2
RPL34,2
DNAJB6,2
DDX3X,2
KANSL1,2
CDC42BPA,2
DCLK1,2
BASP1,2
PEBP1,2
DCX,2
MAPT,2
HNRNPA2B1,1
TPT1,1
RPL9,1
EIF5,1
RPL31,1
FTL,1
RPL27,1
BTG1,1
DDX5,1
HNRNPH1,1
FAU,1
RPL39,1
RPL21,1
WTAP,1
FKBP15,1
CDC42,1
RTN1,1
SPTAN1,1
EPHA4,1
RBM6,1
PIGU,1
SRSF7,1
RPS12,1
CTNNB1,1
FAM171B,1
CCDC88A,1
NBEA,1
RPS17,1
