symbols,n_windows
GNG7,10
TP53INP2,9
LDLRAD4,9
PEX5L,9
TOM1L2,9
MPC1,8
TMEM184B,8
UNC5C,8
BACE2,8
DLG1,8
FRY,7
FAM222A,7
DOCK9,7
ADIPOR1,7
TMTC4,7
SERINC5,7
ENPP2,7
GRIN2A,7
SYT11,7
LRRC8D,7
FAIM2,6
OSBPL1A,6
MAP1A,6
ACER3,6
MAP6D1,6
OMG,6
BTBD3,5
CBR1,5
RHOB,5
KIAA0355,5
GIPC1,5
SPATA2,5
SIK3,5
SFT2D1,5
S100B,4
TFEB,4
UBE2E2,4
TMEM128,4
HOOK3,4
GOT1,4
AMER2,4
RPS6KA2,4
KDM4C,4
ANKH,4
MOBP,4
AGPAT1,4
WNK1,4
ZFAND5,3
PLLP,3
NCOR2,3
MAN2A1,3
STRN,3
PELI1,3
MARCH2,3
PTP4A2,3
TMEM132B,3
ABHD17A,3
BCAR1,3
DTD2,3
SMPD1,3
PRR18,3
TSC22D4,3
SRD5A3,3
CCNY,3
FAXDC2,3
PTPRD,3
PHLDB1,3
AQP6,3
MYO1E,3
LINC00672,3
PADI2,3
ARHGEF10,3
CD200,3
ANKS1B,3
NPC1,3
TMEM125,2
FAM174A,2
ELL2,2
GPR17,2
TMEM189,2
RGS3,2
SETD7,2
TMTC1,2
SLC24A2,2
YPEL2,2
MITF,2
GPR62,2
FOLH1,2
PHC2,2
TBC1D12,2
SLAIN1,2
TMEM230,2
ADAMTS4,2
SYNGR2,2
STMN4,2
SCRG1,2
CARNS1,2
SHKBP1,2
REEP3,2
SCG5,2
ST3GAL5,2
ERBB3,2
CA2,2
GDE1,1
TAF10,1
RNF13,1
RICTOR,1
OPALIN,1
LRR1,1
RCAN1,1
VWA1,1
CD22,1
APCDD1,1
CPD,1
KLHL21,1
BCOR,1
MAP1LC3B,1
ADCY5,1
CYP2J2,1
ADAP1,1
CLDND1,1
LDB3,1
ADO,1
SORT1,1
KIAA0556,1
TBC1D9,1
SLC6A9,1
IMPAD1,1
NFASC,1
PXK,1
TTLL7,1
NAV2,1
PPP1R16B,1
