symbols,n_windows
SIPA1L2,10
CUX1,10
PLCB1,10
NLGN4X,10
RBBP8,9
FAM168A,9
CYCS,9
LMO1,9
MTPN,9
UQCR10,8
MRPL33,8
PHACTR1,8
ABCF1,8
NREP,8
NUP188,8
TSC22D2,7
POLE2,7
SERINC5,7
SMAD9,7
PPP3CA,7
CKS2,7
PBX3,7
KIF5A,7
MAT2B,7
ARF6,6
NUP155,6
KIF5C,6
ANKRD12,6
PIK3R3,6
BRD2,6
PDZRN3,6
SRSF4,6
NFYC,5
HECW1,5
HMGN3,5
CIT,5
RAP2B,5
DLX5,5
RAB12,5
YWHAB,5
DLX6,5
CDC42EP3,5
NUP35,5
NDUFB4,5
KMT2C,5
DNAJB11,5
HNRNPA1L2,5
JAM2,5
COX6C,5
SOX5,5
MIF,5
HECTD4,5
CDCA3,4
RBM23,4
H2AFZ,4
NFIB,4
NHLRC2,4
DAZAP2,4
SON,4
DLX2,4
PUM1,4
CFL1,4
NRXN1,4
GLCCI1,4
AMER2,4
MYH10,4
EEF2,4
CSTF1,4
TIAM1,4
CSNK1A1,4
ZBTB18,4
CEP135,4
BEX1,4
HNRNPA0,4
SETBP1,4
DCLRE1C,4
PRRC2C,4
KCNQ3,4
TBL1XR1,4
BCL11A,4
SRRM1,4
CCDC88C,3
ARPP19,3
DYRK1A,3
COX7C,3
SLC25A5,3
NMU,3
ASCL1,3
SORBS1,3
WDR1,3
H2AFX,3
CHCHD2,3
RPS27L,3
CLSPN,3
NUP98,3
GNG5,3
POU3F2,3
THAP5,3
BARD1,3
NDUFB2,3
PCNA,3
RPS27,3
UQCRB,3
RSRC2,3
POLR2J,3
RWDD1,3
SIVA1,3
NUDCD2,3
GINS1,3
DNAJC13,3
AAMDC,3
LZTS1,3
PSMD10,3
FRMD4A,3
CELF2,3
HNRNPK,3
MLLT10,3
CREBZF,3
CD200,3
ADAR,3
MAPK1IP1L,3
KIF1B,3
TYMS,2
TPM4,2
SETD7,2
POC1A,2
CALU,2
DNAJB6,2
KIF18A,2
SLC16A1,2
SRSF3,2
USP1,2
PHC2,2
TALDO1,2
SPCS3,2
SRP14,2
RPS13,2
SLC24A2,2
SORBS2,2
SRGAP2C,2
SNRPB,2
HAT1,2
RPL13A,2
CDKN2C,2
CBR3,2
COX6A1,2
ROMO1,2
HMGB1,2
SPCS1,2
SEL1L3,2
CCSAP,2
EHMT1,2
PGRMC2,2
CCAR1,2
H3F3B,2
DBF4,2
DCX,2
RACGAP1,2
RPL34,2
TRIM33,2
TMEM237,2
CELSR2,2
RPS21,2
CLMP,2
COX8A,2
LMO7,2
PAICS,2
PEBP1,2
KIF5B,2
BSDC1,2
HINT1,2
ARID2,2
RPN2,2
PRPF8,2
BASP1,2
STIL,2
NSD1,2
YWHAG,2
NDUFA4,2
ARL4C,2
STAM,2
RPL21,1
TRAPPC13,1
SAPCD2,1
MIS18BP1,1
ZBED5,1
CDKN1B,1
NTM,1
ECI2,1
LARP1B,1
FTL,1
RPL9,1
SERF2,1
VKORC1,1
RPL27,1
YAF2,1
XRCC6,1
TAF7,1
NDUFB3,1
LSM4,1
RPL39,1
DTYMK,1
FAU,1
RPS17,1
TPM2,1
BLM,1
UCP2,1
H1FX,1
NDUFA2,1
DCUN1D4,1
SMARCD1,1
RBM3,1
RPL31,1
KATNBL1,1
DLGAP5,1
HNRNPH1,1
CMPK1,1
EXOSC8,1
CENPA,1
DDX5,1
TAF8,1
HBE1,1
FAM171B,1
HNRNPA2B1,1
NR2C2,1
HNRNPLL,1
SORT1,1
ZFP91,1
SRSF7,1
CMC2,1
TMEM108,1
CCDC88A,1
LRCH3,1
CTNNB1,1
CNIH4,1
MDH1,1
SLC4A8,1
WBP4,1
TOB1,1
ITCH,1
DAD1,1
TPT1,1
EIF5,1
DUSP6,1
POLR2D,1
ZKSCAN1,1
GTF2A2,1
RFC3,1
RPS12,1
WDR76,1
B2M,1
EPHA4,1
RBM6,1
CTNNAL1,1
PSMB6,1
CDC42,1
RNF5,1
