symbols,n_windows
HSPH1,10
CUX1,10
IRF2BP2,10
NLGN4X,10
RNF19A,10
TCEAL1,10
ARID1B,10
CYCS,9
NDC1,9
SLITRK2,9
TIAM2,9
TLE1,8
PHACTR1,8
NREP,8
ABCF1,8
NUP188,8
DLGAP1,8
FAT3,8
HERPUD1,8
PPARGC1A,8
DLG1,8
MRPL33,8
ADIPOR1,7
SEMA6A,7
MXD1,7
ATP1B2,7
ANXA7,7
TMF1,7
KIF5A,7
CKS2,7
PHLPP1,7
MAT2B,7
SYT11,7
SMAD9,7
TSC22D2,7
PPP3CA,7
HERPUD2,6
LONP2,6
KIF5C,6
NUP155,6
ANKRD12,6
MAP1A,6
METTL2A,6
SNX27,6
BRD2,6
ARF6,6
SRSF4,6
NUPL2,6
ARAP2,6
FOXRED2,5
SPTBN1,5
AEBP2,5
RAP2B,5
CST3,5
YWHAB,5
NUP35,5
WDR59,5
JAM2,5
AKIRIN1,5
SOX5,5
ADCY3,5
B3GALT1,5
ZMYND8,5
NOP10,5
ARL8B,5
KMT2C,5
TMEM50B,5
NDUFB4,5
CIT,5
NAPEPLD,5
STAU1,5
RORB,5
CAMTA1,5
RHOB,5
HNRNPA1L2,5
TSPAN7,5
HMGN3,5
COX6C,5
NFYC,5
CAPZA2,5
HIPK1,5
HBP1,5
TMEM14C,5
FHOD3,5
GLCCI1,4
CASP3,4
DCLRE1C,4
ACSL3,4
PSMG2,4
SEC16A,4
PPP1R12A,4
PRKCA,4
DAZAP2,4
REEP5,4
TAF13,4
BICD2,4
SON,4
NRXN1,4
KCTD6,4
AMER2,4
H2AFZ,4
TLN2,4
NHLRC2,4
KLHL23,4
APOOL,4
SDHD,4
DLX2,4
PUM1,4
CDCA3,4
NFIB,4
CFL1,4
RBM23,4
NDUFA3,4
EEF2,4
HNRNPA0,4
BCL11A,4
CELF1,4
CSTF1,4
CEP135,4
ZBTB18,4
MAGI2,4
SETBP1,4
DDX24,4
SRRM1,4
NBPF10,4
PRRC2C,4
TANC2,4
H2AFX,3
PRPF4B,3
CCNY,3
COX7C,3
PTPRG,3
PCNA,3
NUP98,3
BARD1,3
ATP6V0E1,3
PTP4A2,3
DYRK1A,3
PDCD6IP,3
MYO1E,3
FGFR1OP,3
CHCHD2,3
ARPP19,3
BMPR1B,3
THAP5,3
KIF1B,3
POU3F2,3
SEC61B,3
TMEM132B,3
SLC25A5,3
PAN3,3
RPS27,3
RPS27L,3
NUDCD2,3
MT2A,3
GNG5,3
ARIH2,3
NDUFA1,3
RWDD1,3
POLR2J,3
RSRC2,3
NDUFB6,3
TXNDC12,3
PTPRD,3
WDR1,3
OLFM2,3
ZNF22,3
TMEM131,3
SORBS1,3
WBP11,3
UQCRB,3
VPS13C,3
BCL10,3
UQCC2,3
MLLT10,3
EPM2AIP1,3
NUDT3,3
MAPK1IP1L,3
MYO9A,3
FOXJ3,3
YIPF3,3
HIF1A,3
MRPL57,3
AP1G1,3
ANKRD17,3
ADAR,3
ANKS1B,3
ARHGAP32,3
VCAN,3
HNRNPK,3
