geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0048863	stem cell differentiation	http://amigo.geneontology.org/amigo/term/GO:0048863	199	8	0.8578798586572438	9.325315100090616	2.067689778062487e-6	0.0013005768704013043	1947;2066;6422;7520;8320;8829;23603;55553	CORO1C;EFNB1;EOMES;ERBB4;NRP1;SFRP1;SOX6;XRCC5
GO:0021953	central nervous system neuron differentiation	http://amigo.geneontology.org/amigo/term/GO:0021953	176	7	0.7587279151943463	9.22596870342772	1.0126484343064845e-5	0.0022022408490114014	1745;2066;6422;6656;7314;8320;8829	DLX1;EOMES;ERBB4;NRP1;SFRP1;SOX1;UBB
GO:0045165	cell fate commitment	http://amigo.geneontology.org/amigo/term/GO:0045165	248	8	1.0691166077738516	7.48281332628239	1.0503533461103665e-5	0.0022022408490114014	1745;2066;6422;6656;8320;8829;55553;58158	DLX1;EOMES;ERBB4;NEUROD4;NRP1;SFRP1;SOX1;SOX6
GO:0030900	forebrain development	http://amigo.geneontology.org/amigo/term/GO:0030900	369	9	1.5907420494699647	5.657736905237905	2.6486394458791196e-5	0.0041649855286449156	1745;2044;2066;6656;7314;8320;8829;80055;89839	ARHGAP11B;DLX1;EOMES;EPHA5;ERBB4;NRP1;PGAP1;SOX1;UBB
GO:0007389	pattern specification process	http://amigo.geneontology.org/amigo/term/GO:0007389	426	9	1.8364664310954064	4.900715770030016	8.078396151434131e-5	0.010162622358504136	92;1745;1947;2066;6422;6656;8320;8829;80055	ACVR2A;DLX1;EFNB1;EOMES;ERBB4;NRP1;PGAP1;SFRP1;SOX1
GO:0010721	negative regulation of cell development	http://amigo.geneontology.org/amigo/term/GO:0010721	307	7	1.323462897526502	5.289154696427617	3.379139837849099e-4	0.03542464930011805	1656;1745;2066;7068;8829;9745;23603	CORO1C;DDX6;DLX1;ERBB4;NRP1;THRB;ZNF536
GO:0001764	neuron migration	http://amigo.geneontology.org/amigo/term/GO:0001764	146	5	0.6293992932862191	7.9440826409162355	4.0819492171428884e-4	0.0366792293940411	2066;6656;8829;57630;58158	ERBB4;NEUROD4;NRP1;SH3RF1;SOX1
GO:0060485	mesenchyme development	http://amigo.geneontology.org/amigo/term/GO:0060485	260	6	1.1208480565371026	5.353089533417402	8.656484414958365e-4	0.06534604777273119	1947;2066;6422;8320;8829;23603	CORO1C;EFNB1;EOMES;ERBB4;NRP1;SFRP1
GO:0033002	muscle cell proliferation	http://amigo.geneontology.org/amigo/term/GO:0033002	179	5	0.771660777385159	6.479531092590896	0.0010277830301421709	0.06534604777273119	2066;3488;5136;7520;84466	ERBB4;IGFBP5;MEGF10;PDE1A;XRCC5
GO:0001667	ameboidal-type cell migration	http://amigo.geneontology.org/amigo/term/GO:0001667	371	7	1.5993639575971732	4.3767398700897	0.0010388878819194147	0.06534604777273119	1947;2066;5587;8829;9688;23603;154810	AMOTL1;CORO1C;EFNB1;ERBB4;NRP1;NUP93;PRKD1
GO:0051271	negative regulation of cellular component movement	http://amigo.geneontology.org/amigo/term/GO:0051271	287	6	1.237243816254417	4.8494887759182035	0.0014394757510072242	0.07680226663511831	2066;3488;6422;8829;23603;114882	CORO1C;ERBB4;IGFBP5;NRP1;OSBPL8;SFRP1
GO:0051961	negative regulation of nervous system development	http://amigo.geneontology.org/amigo/term/GO:0051961	288	6	1.2415547703180212	4.8326502732240435	0.0014652260725300792	0.07680226663511831	1656;1745;2066;7068;8829;9745	DDX6;DLX1;ERBB4;NRP1;THRB;ZNF536
GO:0040013	negative regulation of locomotion	http://amigo.geneontology.org/amigo/term/GO:0040013	300	6	1.2932862190812722	4.639344262295082	0.0018025170506017485	0.0872140942175769	2066;3488;6422;8829;23603;114882	CORO1C;ERBB4;IGFBP5;NRP1;OSBPL8;SFRP1
GO:0050769	positive regulation of neurogenesis	http://amigo.geneontology.org/amigo/term/GO:0050769	435	7	1.8752650176678447	3.732805728283399	0.0025763410144270527	0.11575132129104401	1268;1627;1745;5587;7520;8829;9043	CNR1;DBN1;DLX1;NRP1;PRKD1;SPAG9;XRCC5
GO:0008037	cell recognition	http://amigo.geneontology.org/amigo/term/GO:0008037	145	4	0.6250883392226149	6.399095534200113	0.003511443122959923	0.14035404671360116	1268;8829;23705;84466	CADM1;CNR1;MEGF10;NRP1
GO:0071559	response to transforming growth factor beta	http://amigo.geneontology.org/amigo/term/GO:0071559	238	5	1.0260070671378092	4.873260779721725	0.0035702142248292823	0.14035404671360116	92;1745;6422;7314;55553	ACVR2A;DLX1;SFRP1;SOX6;UBB
GO:0048880	sensory system development	http://amigo.geneontology.org/amigo/term/GO:0048880	350	6	1.5088339222614842	3.9765807962529274	0.0038781099077526138	0.1434900665868467	1745;4212;6656;7068;8829;58158	DLX1;MEIS2;NEUROD4;NRP1;SOX1;THRB
GO:0014812	muscle cell migration	http://amigo.geneontology.org/amigo/term/GO:0014812	78	3	0.33625441696113073	8.921815889029004	0.004609635458092565	0.15533831701666273	3488;8829;84466	IGFBP5;MEGF10;NRP1
GO:0060537	muscle tissue development	http://amigo.geneontology.org/amigo/term/GO:0060537	364	6	1.5691872791519434	3.8236353810124304	0.004692254409088381	0.15533831701666273	2066;3488;7273;8320;55553;84466	EOMES;ERBB4;IGFBP5;MEGF10;SOX6;TTN
GO:0018212	peptidyl-tyrosine modification	http://amigo.geneontology.org/amigo/term/GO:0018212	385	6	1.6597173144876325	3.615073451139025	0.006141834785772349	0.1873662566170827	1947;2044;2066;6422;7273;8829	EFNB1;EPHA5;ERBB4;NRP1;SFRP1;TTN
GO:0060249	anatomical structure homeostasis	http://amigo.geneontology.org/amigo/term/GO:0060249	390	6	1.6812720848056537	3.5687263556116013	0.006530509818696184	0.1873662566170827	794;1268;7520;10590;134430;387597	CALB2;CNR1;ILDR2;SCGN;WDR36;XRCC5
GO:0090130	tissue migration	http://amigo.geneontology.org/amigo/term/GO:0090130	275	5	1.185512367491166	4.217585692995529	0.006553350787878887	0.1873662566170827	5587;8829;9688;23603;154810	AMOTL1;CORO1C;NRP1;NUP93;PRKD1
GO:0009914	hormone transport	http://amigo.geneontology.org/amigo/term/GO:0009914	315	5	1.3579505300353358	3.682019255789747	0.0113962331642955	0.31112095503291387	1268;2044;4826;6422;387597	CNR1;EPHA5;ILDR2;NNAT;SFRP1
GO:0007178	transmembrane receptor protein serine/threonine kinase signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0007178	322	5	1.3881272084805654	3.601975358924753	0.0124422038295805	0.31112095503291387	92;1745;6422;7314;9688	ACVR2A;DLX1;NUP93;SFRP1;UBB
GO:0042692	muscle cell differentiation	http://amigo.geneontology.org/amigo/term/GO:0042692	326	5	1.4053710247349824	3.5577793422508295	0.01306838129021104	0.31112095503291387	3488;7273;9043;55553;84466	IGFBP5;MEGF10;SOX6;SPAG9;TTN
GO:0002791	regulation of peptide secretion	http://amigo.geneontology.org/amigo/term/GO:0002791	455	6	1.9614840989399294	3.058908304809944	0.013354953554671978	0.31112095503291387	1268;2044;4826;6422;7273;23705	CADM1;CNR1;EPHA5;NNAT;SFRP1;TTN
GO:0016049	cell growth	http://amigo.geneontology.org/amigo/term/GO:0016049	455	6	1.9614840989399294	3.058908304809944	0.013354953554671978	0.31112095503291387	1982;3488;6422;8829;84722;134430	EIF4G2;IGFBP5;NRP1;PSRC1;SFRP1;WDR36
GO:0010975	regulation of neuron projection development	http://amigo.geneontology.org/amigo/term/GO:0010975	461	6	1.9873498233215547	3.0190960492158885	0.014169628816732782	0.31831059020446145	1268;1627;5587;6422;8829;134430	CNR1;DBN1;NRP1;PRKD1;SFRP1;WDR36
