class,loading,gene_list,num_genes,enrichment,p
astrocyte,positive,all,473,0.0,1.0
astrocyte,negative,all,473,1.142072213500785,0.44938063708023457
astrocyte,positive,unique,71,0.0,1.0
astrocyte,negative,unique,71,1.5271137026239066,0.48600101737460294
endothelial,positive,all,1574,0.37529904844135054,0.9999500985364167
endothelial,negative,all,1574,1.3061486974210907,0.11129536854457796
endothelial,positive,unique,568,0.3900785242428019,0.9861975280276513
endothelial,negative,unique,568,1.7210762659267642,0.07399508059024883
oligodendrocyte,positive,all,622,0.35604905686136207,0.99272563155489
oligodendrocyte,negative,all,622,1.7466986794717887,0.055676869741992666
oligodendrocyte,positive,unique,334,0.442558968267436,0.9448518335955427
oligodendrocyte,negative,unique,334,1.6245890453445815,0.1949819708582753
pericyte,positive,all,343,0.4308785262897031,0.9504190201976265
pericyte,negative,all,343,0.31256713211600423,0.9632003388952961
pericyte,positive,unique,3,0.0,1.0
pericyte,negative,unique,3,0.0,1.0
neuron_inhibitory,positive,all,574,3.2057362355953902,1.71957273254059e-07
neuron_inhibitory,negative,all,574,0.18655839299070412,0.9965128043581442
neuron_inhibitory,positive,unique,25,13.993293091884642,0.000305292700839514
neuron_inhibitory,negative,unique,25,0.0,1.0
radial_glia,positive,all,2416,1.2053541272879178,0.07346085566469672
radial_glia,negative,all,2416,0.3997015507490907,0.9999863994580801
radial_glia,positive,unique,427,1.581777747826673,0.11604570962632411
radial_glia,negative,unique,427,0.2509341764874964,0.9841737136110136
microglia,positive,all,759,0.19409455411464827,0.9997987095113499
microglia,negative,all,759,0.566346803622111,0.9358736655700521
microglia,positive,unique,204,0.0,1.0
microglia,negative,unique,204,1.0583956354819155,0.5697545966552755
OPC,positive,all,496,1.0516431924882628,0.5043204154355461
OPC,negative,all,496,0.432785259852929,0.9520698647712427
OPC,positive,unique,30,0.0,1.0
OPC,negative,unique,30,0.0,1.0
neuron_excitatory,positive,all,2186,1.0913989041024235,0.2998904608695268
neuron_excitatory,negative,all,2186,1.186656346164738,0.17229868123854936
neuron_excitatory,positive,unique,611,0.3624907338769459,0.9916972794977419
neuron_excitatory,negative,unique,611,2.1415283976695854,0.008327064471523458
progenitor,positive,all,1750,1.6306436751349216,0.0002822235120998922
progenitor,negative,all,1750,0.24489795918367346,0.9999934035280088
progenitor,positive,unique,234,2.2654340137742754,0.03644752451169803
progenitor,negative,unique,234,0.45878952439344833,0.8923143835341214
