symbol,PC1_tau
NUP93,0.33174065227106797
EPHA5,0.25718207791384
EFNB1,0.253417918796368
KLHL9,0.252664407189613
KLHL7,0.24618130970787902
PGAP1,0.242935720305944
MEIS2,0.24243237316112
SH3RF1,0.239948437378393
THRB,0.23073411465402105
SCGN,0.226311453045027
NNAT,0.224154987158871
TKTL1,0.22269505098005102
HPCAL1,0.22104144033705603
CORO1C,0.21859489558934198
SOX6,0.218302841131653
XRCC5,0.21729972272642198
CALB2,0.214557259804623
CBX5,0.21423509914991398
NRP1,0.21352435906285397
SFRP1,0.21334048838178502
ZNF536,0.212075639097065
PDE1A,0.21142014867717898
MEGF10,0.21051753236084197
EOMES,0.210388510484731
SPAG9,0.21026655117065304
STAG1,0.208413888796308
TAGLN3,0.207598508888757
PRKD1,0.20742639933430898
MCM2,0.20740131888839497
AMOTL1,0.20663081829738503
MAOA,0.20624068316778102
SLC7A14,0.20593829775009603
ST8SIA5,0.205870134472184
MAP4,0.203140520834523
MKLN1,0.203112827125028
RPRD1B,0.202280208861726
ERBB4,0.202079251571754
ILDR2,0.20204544945261396
EIF4G2,0.199066659867322
FUT1,0.19895123499789003
IGFBP5,0.19859630359348202
SOX1,0.197784807727159
NHLH1,0.197366867003883
FAM110B,0.197239336951773
TFAP2C,0.196572997089006
CNR1,0.19627551141488395
OSBPL8,0.19607261408027898
PPFIBP2,0.195958981724122
DLX1,0.194888071651427
ACVR2A,0.19487853910075303
DBN1,0.194453348546678
ELAVL4,0.194421092869497
UBB,0.194324422062392
ARHGAP11B,0.193903074899436
HUNK,0.193426400586408
ALDH9A1,0.19331728937518802
CHD9,0.19328675275520898
RNASEH2A,0.19282830508906398
WDR36,0.19237253264165805
TTN,0.190924262258018
SHC3,0.190734746986983
DCAF7,0.18933286257676601
ZNF608,0.188971544341513
KLF12,0.188782785843735
PRDX5,0.18848265642310397
GAN,0.187978525636244
PTOV1,0.18783740318926398
NEUROD4,0.187492177258875
CADM1,0.187319054288183
DDX6,0.18559916330595003
PSRC1,0.18330687965304798
DDAH2,0.181880859747657
VGLL4,0.181858153625716
DMRTA2,0.181632238158288
SPOCK2,0.18153809969999696
PPP1R17,0.18141390407410302
CDC42EP3,0.17977606960852302
CXCR4,0.17932571040657003
NES,0.17890037713787998
VEPH1,0.17886564469349
NEUROD1,0.17834618977182395
FBXO25,0.178003706267168
FAM107A,0.17746900972531
GPATCH2L,0.176746448063179
TRIM26,0.176182777189611
KDM5B,0.175959388097638
MBP,0.17574239924805202
DUSP10,0.17524397259932398
GAD2,0.173880434286406
FBXO21,0.17375744889004902
TMEM158,0.17336786674193802
ARX,0.172575032119064
DLX2,0.172257355838024
YES1,0.172226863834933
PBX1,0.172025071533219
GSTP1,0.17137755468805702
SLC15A2,0.171303723785686
GLI3,0.17095185788233702
MAN1A2,0.17059675198882002
STX7,0.170474848688093
KIF11,0.170446619701529
ALDH7A1,0.17007716797261
BCAN,0.169726410002826
AGO1,0.169108067507942
DLL3,0.168775529817192
CARHSP1,0.16828945933542597
RPLP2,0.16828771917023
GTF3C4,0.16819989962662
CXXC4,0.16807846673404903
COTL1,0.16790527923612603
PDZRN4,0.16780799520241196
VPS28,0.16729219362842998
KDM1A,0.16717789464172303
TPGS2,0.167091333135738
CDCA5,0.16705657649573902
MSH2,0.16694583297909601
TRIL,0.166571878214073
ARHGAP11A,0.166082790242822
SHISA5,0.16569239977778102
ZNF292,0.16534856587704902
PLS3,0.165131976571301
PUF60,0.164735432075093
MAGI1,0.164655643652315
GDPD2,0.164534938466375
FZD8,0.164373457275219
PHIP,0.16401535445016502
NCAPD2,0.163388869197604
SUPT16H,0.16308305216973001
CANT1,0.16284347154202
MAPK10,0.162776021979609
SPATA13,0.162695193030499
SMC2,0.162642299220714
LRRC3B,0.16238934650860998
DPY19L1,0.162282635284724
STAT1,0.162137081411448
CENPC,0.161910192075462
KIF22,0.16188337909323403
FSTL5,0.161670090270016
PBRM1,0.16136426308483098
CCDC90B,0.161137618217669
DENND4A,0.161137618217669
HTR2A,0.16111093096703602
CTNNBL1,0.16091114116620903
ARIH1,0.160684722435197
B3GAT2,0.160391555334221
TMEM106C,0.15980573144711702
SNCAIP,0.15980573144711702
