"symbol","PC1_tau","PC1_pval"
"A2M",0.0177679173793868,0.752273385596121
"AAMDC",-0.0370544510788062,0.509925904686422
"AASDHPPT",0.014036911510534,0.80302905297627
"AASS",-0.0559557886256089,0.319923159933452
"AATK",-0.0695809101369074,0.216316429815035
"ABAT",0.0650265186896665,0.247578565561577
"ABCA1",0.109067471535633,0.0523929335604221
"ABCA2",-0.10815559245277,0.0544804447119365
"ABCA5",-0.0265754760022192,0.636458793266357
"ABCB1",-0.0886515274149653,0.115229989266756
"ABCC8",-0.0302437762148806,0.591020107547246
"ABCC9",-0.0173367119512591,0.758122123399068
"ABCD3",0.0356751468814251,0.525869688975814
"ABCD4",0.037935919689217,0.500079999380271
"ABCE1",-0.02502144808068,0.656357502632088
"ABCF1",-0.0153258239787896,0.785228315296347
"ABCF2",-0.0221725923297707,0.693471446973593
"ABCG2",-0.0693180815335015,0.218037994145223
"ABHD17A",-0.028503514861705,0.612468819053068
"ABHD17B",-0.154743029393996,0.00593592380035211
"ABHD2",0.125261266391709,0.0259903984855832
"ABHD6",0.0485790931673372,0.387734772106059
"ABI1",0.00597744514409383,0.915395321860009
"ABI2",0.00242392225380243,0.965614817913709
"ABLIM1",-0.0626860850602324,0.264984183542452
"ABLIM2",-0.0763598734848297,0.174485006824307
"ABLIM3",0.0431995457026066,0.442332180807552
"ABRACL",-0.00822504348672871,0.883713870603178
"AC253572.1",-0.0454654848660044,0.418913830863245
"ACAA2",0.0158519098208934,0.77813000297988
"ACACA",0.0364559683127433,0.516866021481271
"ACADM",0.0273761010924743,0.626587006801279
"ACADVL",-0.112157489410409,0.0461704647548359
"ACAP2",-0.0103925413823469,0.853420908358682
"ACAP3",-0.0639035398021644,0.255856979987907
"ACAT1",-0.0295260224676116,0.599577709726526
"ACAT2",0.0155079913685264,0.78285147535846
"ACER3",-0.031537111321077,0.575178188121407
"ACIN1",-0.042941606857682,0.445078258421316
"ACKR3",0.027094866412686,0.629881185319869
"ACLY",0.0771163657060204,0.170583616696284
"ACOT7",0.0399230257585295,0.47784917079659
"ACOX1",0.0215654168827737,0.701445718472779
"ACP1",0.0523762027055651,0.351615990057632
"ACSBG1",0.0662442179554599,0.238872785365606
"ACSL3",-0.0825033407907497,0.142310829857668
"ACSL6",-0.0606181352244538,0.2811490885739
"ACTB",-0.0608980708862252,0.283002929547161
"ACTG1",0.038103216155695,0.50273625456357
"ACTL6A",0.0805021813715389,0.152194422004728
"ACTN1",0.0406529021581742,0.470210503252299
"ACTN2",-0.186357467147178,0.000922119134496155
"ACTN4",-0.0112632540432418,0.841357206233582
"ACTR10",-0.0557548282587645,0.321439462629387
"ACTR1A",0.122387026825228,0.0296998577763362
"ACTR2",0.0655623316476292,0.243814532629084
"ACTR3",0.0729089166848542,0.194851393327014
"ACTR3B",0.00450082466857524,0.936190672864153
"ACVR2A",0.194878539100753,0.00053460685760611
"ACVR2B",0.128959460796988,0.0218759893559006
"ACVRL1",-0.0193120059526076,0.731345169975634
"ACYP1",-0.0831059058446548,0.139404271617854
"ACYP2",0.0199339093873405,0.72323771766393
"ADA",-0.000692606562220677,0.990172838769592
"ADAM10",0.000173194672069868,0.997543127781194
"ADAM11",-0.102894686280342,0.0673829952011934
"ADAM19",0.0867489719181398,0.122907085292597
"ADAM28",-0.0466547095689009,0.406628840672197
"ADAM9",0.0717025942369253,0.20237496084722
"ADAMTS1",-0.12096005227596,0.0316010142294992
"ADAMTS18",-0.122683017059943,0.0291368728916012
"ADAMTS4",-0.0560261555780164,0.319185123524317
"ADAP1",-0.0123911209832849,0.82573276348574
"ADAP2",-0.0450418112775799,0.423351941172421
"ADAR",-0.04157361061832,0.45988979367672
"ADCY1",-0.148112832051456,0.00843229497545708
"ADCY3",-0.136430371409329,0.0153097603954695
"ADCY4",-0.0996199559823415,0.0766248385109385
"ADCY5",-0.0353346406999796,0.529892089561801
"ADCYAP1R1",0.0215529177785832,0.701453818674808
"ADD1",0.0305726592755787,0.586790296507281
"ADD2",-0.156940380084158,0.00527364750083422
"ADD3",0.0435674848801233,0.43867115599467
"ADH5",0.113678758927103,0.0432269887602977
"ADIPOR1",-0.232812715334676,3.53874961480835e-05
"ADIPOR2",-0.06755711725477,0.229777811129154
"ADIRF",-0.0440315932204078,0.434112067315212
"ADK",-0.098630280067018,0.0794945035191413
"ADM",-0.0334432004668564,0.552300182292614
"ADNP",-0.00641245445296531,0.909287961552156
"ADNP2",0.0289378988495597,0.607076194073731
"ADO",-0.01905615092513,0.734817924840304
"ADORA2B",-0.0246914946370392,0.660797462483581
"ADORA3",0.0506231988976764,0.368542249954391
"ADRA2A",-0.0233948525175567,0.677618718022264
"AEBP1",-0.057023582630865,0.310998334536538
"AEBP2",-0.157022534417174,0.00522506480788203
"AFAP1L1",-0.0445405620111374,0.428706193319587
"AFAP1L2",-0.0651996918419692,0.246322406078827
"AFF1",-0.172487603368444,0.00216281103696215
"AFF3",-0.144862775079233,0.0100432499318319
"AFF4",0.0373188143212334,0.506962632915906
"AFMID",-0.0971944266192931,0.0840767313674836
"AGAP1",-0.0788738380674721,0.160740266411568
"AGFG1",-0.134480092137032,0.0168012201916405
"AGL",-0.0353229346732545,0.529898560182916
"AGO1",0.169108067507942,0.00265164757020024
"AGO2",-0.00398248773276889,0.943539596463241
"AGO3",-0.0067523548498782,0.904412468617122
"AGO4",-0.0298971426766012,0.595282262181422
"AGPAT1",0.00502098181144789,0.928846064973829
"AGPAT4",0.0266041240629466,0.636433946339104
"AGPAT5",0.0200014990909627,0.722101690588694
"AGPS",0.032733793021205,0.560579532749505
"AGRN",0.0440616198212689,0.433242430771376
"AGT",-0.119350907150094,0.0338694786827312
"AGTPBP1",-0.127135422910711,0.0238094559300586
"AHCTF1",-0.0252948062146467,0.653011795825421
"AHCYL1",0.0810121480349726,0.149975811634849
"AHI1",-0.00303053016529738,0.957025674137198
"AHNAK",-0.0322115403880829,0.566822819167389
"AHSA1",-0.0563958954899287,0.316186941735127
"AIDA",-0.0255430399646493,0.64969516972331
"AIF1",0.000519713207048999,0.992629312969
"AIF1L",0.0793955499801055,0.158424319505561
"AIFM3",-0.0378665725153531,0.501042929990313
"AIG1",0.0300480308896008,0.59316998112509
"AIMP1",0.0551373840359739,0.326731173517114
"AK1",0.019229388660813,0.732497976063058
"AK2",-0.00978752642436171,0.861881249834654
"AK4",0.139098372193796,0.0134109554459331
"AK9",0.11125552086127,0.0480476192485672
"AKAP11",-0.0292747508104003,0.602785140866698
"AKAP12",-0.0594899055364718,0.290182611483734
"AKAP13",-0.0372399399534099,0.507945519670458
"AKAP7",-0.00164460015177944,0.976663374887442
