,ACTN2,ADIPOR1,BACE2,BCAP29,CAMK2G,CAP2,CDKL5,CPOX,CXCL1,DAB2,DUSP7,DYNC1I1,EFNA5,EIF4H,EOGT,FAT3,FERMT2,JAG2,JMJD1C,LAMA5,LDLRAD4,MAML2,MPC1,MYCT1,PCDH7,PDZD2,PTP4A3,PTPN2,RALB,RAP1GAP,RPS6KA3,RRM2B,SAV1,SERPINI1,SFT2D1,SH2B3,SORCS1,SSX2IP,ST3GAL1,SYPL1,SYT6,TBC1D4,TMEM189,TNFAIP8L1,USP2,USP6NL,WDR60,WIPI1,ZBTB18
ACTN2,1,6.81546782025418e-06,2.37186852140692e-05,0.0013208554915494,0.000486580288182994,0.00735843293617982,0.00186273069778499,1.69290666122282e-08,1.2840130635198e-10,1.19051245604961e-05,0.0247109506624382,0.00165134022947829,6.35787667936649e-05,2.06647915308603e-07,2.82861549764387e-07,0.000106862009078745,0.000213903148973086,0.000131005406331114,0.000213086663910792,8.0937667407716e-07,0.0148659111176113,2.29252634053355e-07,0.000887723361814591,9.9221622796261e-07,0.00433905011884891,0.00046216738292982,7.37293337240365e-07,0.0781969556183387,6.74744830330796e-06,0.00434887247949014,0.00101697398383543,0.00340731632844918,0.00431397006192492,0.000208634945974658,2.41665380803639e-06,0.000169088177109175,0.00498753677669874,0.00718103545854968,0.00144246711186981,1.86955886307466e-06,0.000136359776094848,0.0167077395006981,8.66543628138244e-05,0.00130600554546112,0.00247777978142882,5.87043434717507e-06,2.33655746505529e-06,1.6062010553259e-08,0.00241611698262688
ADIPOR1,6.81546782025418e-06,1,0.000255222451012913,8.16660912516077e-06,0.000169633068000373,4.9457084761234e-05,1.10524104858752e-05,1.01561741819258e-09,6.56462461285623e-11,3.29951541028062e-06,2.22658239599169e-05,2.51520195477289e-06,4.72728658429813e-07,1.11103057613817e-05,1.40633316429961e-06,3.55106400701523e-06,7.22439732740042e-07,2.51880794681251e-07,5.34762370661632e-07,9.90158138428131e-09,4.15235387872915e-05,2.28851759417103e-05,1.96659203849707e-05,1.05362543283957e-07,5.19853383036501e-06,0.000105992465915994,5.03314099382956e-07,4.44165429343281e-06,1.01354774978474e-05,7.54595535821259e-06,4.77679405875164e-06,1.54341884527933e-05,8.33812252658107e-05,1.5444170283056e-06,5.47794627181624e-07,0.000105886981549912,1.82027298534687e-05,1.29030081655019e-05,1.53965709487805e-05,4.58710170650315e-06,2.73589826214635e-05,3.73145019509744e-05,7.84928445320079e-07,3.02663360044222e-06,3.09760730070776e-05,1.10171348456854e-06,1.31240086992167e-08,2.27197323277595e-05,4.29872780853134e-06
BACE2,2.37186852140692e-05,0.000255222451012913,1,0.000589257321380556,0.00346162063474443,0.000858431601330399,0.000337511062825424,3.21093989016865e-08,1.28326622954069e-09,1.51490449913872e-06,0.000442936388981577,8.63571379889146e-05,3.44706350359259e-05,3.47363968076219e-05,2.29308228368305e-06,0.000207536499651352,6.60159058183389e-06,2.46919482933519e-05,2.55846504744391e-05,2.22394278526188e-07,6.94102249971419e-06,0.000530561187856423,6.06081120350426e-05,1.99181976098425e-07,4.47428851999086e-05,0.0100533384435744,9.94712033969521e-06,0.000103012793610391,1.16308949648646e-05,0.000312954631388777,5.05459153804592e-05,5.60942555140543e-06,0.000240138918608394,0.000104561512016294,2.41300047217873e-07,0.000297305021950729,0.00127009146939691,5.42019190538541e-05,0.00662765283531051,1.69938822767934e-06,0.0138025185086465,3.77788693251255e-05,9.27609668644065e-06,0.000219203403852736,0.00139579288297104,0.00327330315370806,4.3907593263711e-06,6.7407019686667e-09,0.00018142545173125
BCAP29,0.0013208554915494,8.16660912516077e-06,0.000589257321380556,1,0.00495753567707217,0.00100284991736881,0.000601483974385783,2.47690578520479e-07,4.80288697029922e-09,0.000462434670601241,0.00174864156148319,9.38708093347345e-05,9.82216810965446e-06,2.09809379339283e-07,2.46319747223057e-05,0.000300756807550674,0.00166730497425461,1.40857317544784e-05,0.000100340271179104,1.25915122027632e-05,0.00841360640073684,1.41387027617854e-06,0.00394145332721741,5.60843213709002e-05,0.007349734484937,0.000650781034827454,0.000100522936257353,0.0104079232590212,9.99134635138759e-06,0.00774962482532185,0.000342402943636749,0.00114497894357651,0.00338964020396453,7.581868930504e-05,1.00999213794897e-05,4.22863882381914e-05,0.00795314520967822,0.0159060229448778,0.000701777182234767,0.00131064122540801,4.61879193428317e-05,0.00348475371893722,9.80363897166239e-05,0.000517555276561959,0.0029584257267072,0.000265149059774447,6.24960670318077e-07,1.50613470008532e-07,0.000953909513995853
CAMK2G,0.000486580288182994,0.000169633068000373,0.00346162063474443,0.00495753567707217,1,0.000360341546240712,0.00288278823923912,3.72338136946276e-09,9.87678658629422e-10,2.98891366206135e-06,0.000587403581699315,0.000139421154353437,2.4504304602307e-05,1.18878910941811e-06,3.71163413373132e-07,0.00230435301674669,7.73976144199253e-05,0.00014817644276955,0.000330900427813591,1.31801466030911e-05,0.00026972912229832,6.44814812017552e-05,0.000841186349709275,4.42330242419789e-07,0.00135252754471322,0.00285955216223631,0.000124628197999887,0.00385145794975586,5.45810553255229e-06,0.0190294850148347,0.000363275809881699,0.000290140695466615,0.005114899944838,0.000232042416622336,2.70565754579683e-06,0.000246282996907582,0.00798779314769687,0.00269902219002676,0.00147308895901251,1.31047147574338e-05,0.000592263395729801,0.000406655098520324,5.33219229882721e-05,0.000346805951149365,0.0209379965411969,0.000177255459972704,4.12373626166602e-06,8.89509868799775e-09,0.00209562405418832
CAP2,0.00735843293617982,4.9457084761234e-05,0.000858431601330399,0.00100284991736881,0.000360341546240712,1,0.0184393071330487,1.32656421816404e-07,2.09362531385857e-10,0.000158211945556838,0.0689508263652018,0.0286948341164823,0.00145094735699417,1.44264203001739e-06,1.8986975557487e-06,0.000187830975928062,3.60798477967069e-05,0.000349268270307928,0.00133908345478769,1.71902790665413e-06,0.000355604157282229,2.77260318840837e-05,0.000500806621421352,9.7845308291756e-08,0.000882008995749076,0.0158956317184355,3.0134508690507e-06,0.0026126955257529,8.92983803597126e-05,0.00208073254759392,0.00208335695807141,0.00185980168149646,0.00133458349677901,0.0014332783558299,1.42667269429976e-06,0.00452297011267877,0.00527993170013266,0.000586773425767084,0.0359488579235893,5.64964827817217e-06,0.00350667856431197,0.000802533086946842,0.000497889830031438,0.00237673086921532,0.00489820533572324,0.000138773635072062,8.29020320294706e-06,8.66801765984748e-08,0.0148595623173572
CDKL5,0.00186273069778499,1.10524104858752e-05,0.000337511062825424,0.000601483974385783,0.00288278823923912,0.0184393071330487,1,1.6928676771242e-08,1.7653406412102e-09,5.45696260047691e-06,0.0112378660277602,0.0301113535413321,0.00537987689811103,1.71587014984145e-05,1.16626117794395e-06,0.0050320172546935,0.000178395780061038,0.00279780648526098,0.0276985356537338,3.403133828034e-05,0.000520876034857748,2.2996474758474e-05,0.000291730152911187,6.38541103891131e-08,0.00940138155911943,0.0116337217987517,0.000132448658692529,0.00354763452290715,2.77652196185495e-05,0.00195634257330023,0.00238061380158567,0.00147584344604638,0.00149290422292833,0.00333998969784851,9.21553340110575e-06,0.00233080860807108,0.0221464675136491,0.00446865415246274,0.00929143323286093,9.687162768532e-07,0.0062898434218793,0.000823274992780819,0.000399067747294281,0.0043100768764988,0.00539779027286468,0.000831783473329236,5.85179678461251e-05,7.30145258377016e-08,0.112889580771974
CPOX,1.69290666122282e-08,1.01561741819258e-09,3.21093989016865e-08,2.47690578520479e-07,3.72338136946276e-09,1.32656421816404e-07,1.6928676771242e-08,1,6.58903134095872e-13,2.37452416907997e-07,9.17108941924853e-08,6.22564015158962e-08,2.23209892073145e-07,2.00523463830965e-11,4.47015654078573e-06,1.07808920826659e-09,2.53025718375987e-09,2.51270947792536e-09,1.39653477866966e-08,7.10793636407138e-11,7.61910869326157e-08,2.22849684631314e-09,4.65538572774272e-07,4.36521690855917e-09,8.24022172581009e-07,2.58170045521757e-08,1.26956242298763e-10,1.96380650176394e-08,6.44185053796711e-06,4.71174358607545e-09,3.25576557950704e-09,2.22433218041706e-07,1.38854088637498e-08,8.26763590335175e-09,3.71654251779158e-08,5.92629841537989e-09,2.93324486574336e-08,2.11579100851083e-08,1.27708967401603e-08,1.21149564907173e-08,5.70347321073828e-08,5.13861623567475e-07,1.32193524384102e-07,6.6473918756421e-07,2.13268182585256e-08,3.86343612931498e-10,8.60807756032263e-11,6.34929482211654e-09,1.04044051162182e-08
CXCL1,1.2840130635198e-10,6.56462461285623e-11,1.28326622954069e-09,4.80288697029922e-09,9.87678658629422e-10,2.09362531385857e-10,1.7653406412102e-09,6.58903134095872e-13,1,1.34542383451611e-08,1.49433756721143e-09,9.60937168582383e-10,2.51206962688188e-08,4.48247498976586e-10,2.0936154144401e-07,7.73272144060584e-08,9.51894683348419e-12,2.55150033876399e-06,6.75632497532078e-07,5.78581648982686e-07,1.39322427059934e-09,5.03654573427408e-09,1.22830204125936e-08,8.40599316832695e-05,3.16545293902812e-10,1.68097446890506e-09,3.28965967254231e-07,8.06213498112796e-09,2.06077016390614e-10,1.85653543787221e-09,1.2047584656247e-10,1.06324386075441e-10,1.04976728050183e-09,7.07320952080396e-10,7.48861063970542e-08,3.82922668100675e-08,2.13634330614913e-09,1.43572068249518e-10,6.42872809119802e-08,1.33113950368538e-10,1.77959308304258e-10,1.23433781084926e-10,4.65793680582639e-07,4.78674682769892e-09,3.4075197987159e-09,5.0565735997389e-08,0.000350262924270871,2.44823991690389e-06,9.66860075027107e-09
DAB2,1.19051245604961e-05,3.29951541028062e-06,1.51490449913872e-06,0.000462434670601241,2.98891366206135e-06,0.000158211945556838,5.45696260047691e-06,2.37452416907997e-07,1.34542383451611e-08,1,7.17541783575172e-05,5.14894630972785e-06,1.57017363158219e-06,6.31675594454251e-10,0.000115436914746434,2.87778429126279e-07,5.2697089047945e-06,5.63027410607614e-07,3.86954856030907e-07,2.16633014483218e-08,8.4143406872143e-05,3.94259813363383e-08,0.00011884460458553,3.66825828279137e-05,2.020379650256e-05,2.31246416048749e-05,5.55204892605246e-08,1.44089544121129e-05,0.000123276326800005,1.22160767304087e-05,1.35665283156956e-05,3.36365025873361e-06,4.18309397968368e-05,3.02097487071024e-06,3.60693409829771e-07,8.55559170628815e-05,7.54704493315054e-06,1.76038731004354e-05,0.000181145527908555,7.34166129739044e-05,2.13518648624438e-06,9.99535289018556e-06,5.67338589029778e-06,3.62619433302786e-06,3.60795334903056e-06,1.47716804532628e-07,8.74955229888781e-08,3.99722450463955e-05,4.51420005582678e-06
