,ACVR2A,ALDH9A1,AMOTL1,ARHGAP11B,CADM1,CALB2,CBX5,CHD9,CNR1,CORO1C,DBN1,DCAF7,DDX6,DLX1,EFNB1,EIF4G2,ELAVL4,EOMES,EPHA5,ERBB4,FAM110B,FUT1,GAN,HPCAL1,HUNK,IGFBP5,ILDR2,KLF12,KLHL7,KLHL9,MAOA,MAP4,MCM2,MEGF10,MEIS2,MKLN1,NEUROD4,NHLH1,NNAT,NRP1,NUP93,OSBPL8,PDE1A,PGAP1,PPFIBP2,PRDX5,PRKD1,PSRC1,PTOV1,RNASEH2A,RPRD1B,SCGN,SFRP1,SH3RF1,SHC3,SLC7A14,SOX1,SOX6,SPAG9,ST8SIA5,STAG1,TAGLN3,TFAP2C,THRB,TKTL1,TTN,UBB,WDR36,XRCC5,ZNF536,ZNF608
ACVR2A,1,0.00982726218189307,0.00770707402958637,0.000315592488846194,0.00828681325579797,0.0313791673833818,0.000490983725477634,0.00168479789897913,0.00183902084429308,0.00305624726911487,0.00113131757908417,0.00127977533329492,0.000251046705510479,0.0508515636683772,0.0144477890782348,0.0162898987461072,0.0908704746101273,0.00224200135859561,0.00352501540569816,0.0567645368519581,0.015207893194037,0.00103144682870488,0.00125048444852584,0.0372418451421684,0.0301841091943731,0.050161580330096,0.00566875882974121,0.020305375984866,0.0224143009701797,0.00978911737602703,0.00407312845523026,0.00922422845075541,0.00157885213125395,0.00645979017182842,0.037560939327203,0.00083433331560355,0.0020003817711278,0.00173854549315654,0.0365075862254422,0.00485831685295291,0.0369856934440866,0.00596133624322726,0.00629899709574646,0.0228132126825648,0.0261582424830145,0.00415211812378761,0.00587146504426785,0.00217991672601979,0.0022381115808263,0.000441897632243548,0.00884349413981206,0.0416110000146914,0.00564537837440209,0.0147518559267158,0.00410318440526502,0.0106645066237604,0.003498107319231,0.00566259126273588,0.0172599583112646,0.044885629181578,0.00649237829180068,0.0271057942964225,0.00175317065899782,0.046118343898107,0.00537444693507143,0.000791346733898385,0.00893796719595839,0.00651971568968227,0.0107519641329975,0.0288594812164489,0.0102596635095845
ALDH9A1,0.00982726218189307,1,0.119623651123499,0.0419042646343652,0.00534600597391201,0.00525199644013368,0.0324746341243381,0.0694776188876938,0.010979115274687,0.0562312802947787,0.0203817194268638,0.0140903672531296,0.0156678017206668,0.00158673791842452,0.107180356836553,0.0337042703915394,0.00945470027372981,0.146504631128109,0.0331581009582054,0.0045672163594667,0.000684147481346681,0.00385459856701823,0.00283536063448925,0.0730802261864694,0.121545028743589,0.0156162839762844,0.0425007732389238,0.0277012043111985,0.0403881322093806,0.0823167200258962,0.0290427139821458,0.0411969456743275,0.109852184434981,0.116448469249471,0.0748685333980793,0.0501510481642353,0.140589704117986,0.12653209244586,0.0269604298884419,0.12396706655996,0.0296024538405679,0.0132924689931595,0.00562870667693183,0.103116978155899,0.0523831336797966,0.0174547069826722,0.0959024588290561,0.111850714409886,0.014216972347065,0.0366942847424433,0.0667076345106483,0.00372684869740658,0.159691976709262,0.0663386662422932,0.0606953641372015,0.00218614251393265,0.0840534840802274,0.0704242420484743,0.127279231432272,0.00108495591499319,0.053202683291218,0.0126342549648879,0.123865041132506,0.00297070603667038,0.136024077863521,0.0173023461670885,0.0622035908977394,0.0267872222812078,0.0915923636343714,0.0113844624768318,0.025957627907313
AMOTL1,0.00770707402958637,0.119623651123499,1,0.0180067810868393,0.0014615764651408,0.00218661287960959,0.0113299297975057,0.0599092899346061,0.00464315508947807,0.0310778414425164,0.0112827635272096,0.0341519993431534,0.0093780763098717,0.000763006294757435,0.101842996056565,0.017564373366218,0.00565328364102803,0.0712757063795812,0.0225120225322608,0.00274310658991831,0.000913863124944788,0.00126207598664535,0.000870270972058034,0.0662337685346169,0.0945321273267827,0.0170055774396752,0.0138028875220026,0.0265075792364321,0.0256014219311516,0.040191670434446,0.00925824231226918,0.0199257820354834,0.0548705843810695,0.0762916290186342,0.080254365664776,0.0371907789394024,0.0667856509847062,0.0607218100250359,0.0226956668284043,0.0774282223233057,0.0145158806950745,0.00662464495796441,0.00341794788447398,0.0720250431219131,0.0478899471380636,0.00617017877319731,0.0603545705453805,0.056527747032197,0.00683247102407785,0.0117470902704076,0.0604969577324564,0.00195676152565406,0.0943894743702004,0.0338935616774396,0.031922039354339,0.00108521052523072,0.0443498701599986,0.0304153885654432,0.109922071436335,0.000575336366175224,0.0591782211553081,0.00988658306862502,0.060216734272634,0.00231638649762145,0.074200714908543,0.00823190461064765,0.0590075117982495,0.031554285731724,0.0490911101594202,0.00456580322702086,0.0183640640373766
ARHGAP11B,0.000315592488846194,0.0419042646343652,0.0180067810868393,1,0.000864298031309227,0.000234603990767783,0.0400302715864983,0.03020504658267,0.00441527921952968,0.0171118131210359,0.00764975359657237,0.00219008941662942,0.0182654364053473,0.000185844986965528,0.0606084194662632,0.000799805857850485,0.000262184895005077,0.304865287035476,0.0217882248251485,0.000397893027530335,0.000229094802982705,0.000133871973971913,0.0052071416046263,0.00435760196357342,0.0202912309553014,0.00044658482202722,0.00431258238339655,0.000761740914236684,0.00317889339563483,0.0103068284628578,0.000675607636726104,0.00236385813806542,0.264462449490059,0.104917159542505,0.00876030783527675,0.023866311338685,0.311796122796902,0.296536858745822,0.00115871501606566,0.0439635285782887,0.00232208463670528,0.000754097219502965,0.000357884986214012,0.0225091469915644,0.00255850965627055,0.00187191624736141,0.0539137330125925,0.199168693648293,0.00281788721174098,0.0693951761859182,0.011160809851691,0.000176317624637304,0.248399314440745,0.00786016337459765,0.00171155396794673,0.000467214023638289,0.137201911485037,0.0200684487484386,0.0433976499342446,0.000104121202385532,0.00908358350981297,0.00109898305861741,0.260208282225599,0.000104305777256916,0.206131047467787,0.00755847506514534,0.00658124048316245,0.00328007935197385,0.019666514798563,0.00163919695572588,0.00315057128603865
CADM1,0.00828681325579797,0.00534600597391201,0.0014615764651408,0.000864298031309227,1,0.0711364412476469,0.00945600142525999,0.000567102671041365,0.00394581482394336,0.00403351639519975,0.000179658849934682,0.000257122673878698,0.000492125189513117,0.0388725485994645,0.00339524904737452,0.00165054039829422,0.020307600969717,0.00520622401607333,0.00141312873214449,0.0453506397892197,0.00170652067292776,0.00485768077672626,0.00535282558508632,0.00794409835807994,0.00302012980175905,0.00727013242029321,0.0267183169534114,0.00425446019804554,0.0234692160480686,0.02517612346049,0.0209244552977643,0.00748554879835593,0.00529085734138843,0.00594843967361961,0.00214185602989179,0.00140837367507845,0.00455078774387182,0.00345093247933256,0.00375620113438063,0.00203285593257566,0.0152694975996951,0.0114124571237125,0.0184682378307484,0.0042561552076041,0.00236825389429787,0.00953460825735174,0.00366798367329541,0.00607430813329321,0.00156963161507056,0.00562587109000047,0.00171661215658657,0.0273032210175585,0.00620083120491429,0.0083452086868999,0.000286157171991358,0.0181238785412989,0.00909840332657721,0.0164799360620763,0.00439380511141141,0.0334052385691983,0.00260328658475882,0.00497976353837131,0.00615984928822054,0.0313267159004495,0.00333120503268234,0.00102630823527795,0.000680473340158466,0.00335815521934653,0.00514478972712872,0.0482404387450218,0.0018394140392836
CALB2,0.0313791673833818,0.00525199644013368,0.00218661287960959,0.000234603990767783,0.0711364412476469,1,0.00228589078112476,0.000735553451182057,0.0038322326461965,0.00250661076985358,0.000293422764215367,0.000409459419760154,0.000356779532467771,0.160385540845808,0.00428282718707364,0.00649583895846046,0.062146380122577,0.00229239578315945,0.00104263307434801,0.162306557834204,0.00884569094625487,0.00418080742357698,0.00207024598228712,0.0162170541864495,0.00760358770427598,0.0303835392686082,0.0203255637870224,0.0146952018561034,0.0193137134679941,0.0147024257250055,0.032724988676429,0.00884896859340156,0.00185815369110083,0.00484292156096115,0.007479953109306,0.00100709633636351,0.00196007468291164,0.00149187347872603,0.0188807609978093,0.00225541821827127,0.0333995481916248,0.0110891062396658,0.00725937270399106,0.0091567493918087,0.00646614066491663,0.00790387485479435,0.00501180642654967,0.00279694437383331,0.00184700560050979,0.00102580036921764,0.00311335871120779,0.116998952554207,0.00386274890615121,0.0127533639152977,0.00110046124268678,0.0147173074964289,0.00753472123183822,0.0167853030751957,0.0076145038593133,0.151904442410613,0.00244028353360753,0.0079609879525659,0.00248110954193239,0.0677420211110159,0.00265345232019732,0.000804315552032714,0.0014365082330005,0.00338095942597675,0.00543937588872229,0.0757347050193156,0.00830218817028878
CBX5,0.000490983725477634,0.0324746341243381,0.0113299297975057,0.0400302715864983,0.00945600142525999,0.00228589078112476,1,0.0171256564504686,0.0155719198252909,0.0148154473990272,0.00183153419743914,0.00101423400628221,0.0271944428410287,0.00204573207489006,0.0597745993626933,0.000730045921650272,0.00088254504205238,0.231292832653566,0.0085596050603201,0.0034707399392449,0.000208024606216017,0.000212523482051278,0.00115216285035485,0.00399330535348048,0.0171671517864823,0.000690483766420475,0.0143189556593662,0.00192369649501641,0.00221719301601462,0.00873148854835351,0.00251330736169614,0.00335581654916245,0.188826459729077,0.134303982223238,0.00841792629442771,0.0146932362984367,0.219963513021665,0.189883293181162,0.00166302023538842,0.0350619336750891,0.00380055596704595,0.00175157272556732,0.000337287050297946,0.0246886294958313,0.0029815731190383,0.0062667266373224,0.0451016928718783,0.183918947442727,0.00117066848472035,0.0516613470879027,0.0049294560051406,0.00136956384663161,0.212875300935551,0.0195368088867939,0.00107710884175931,0.000458116779731899,0.173602133624916,0.0333177975126802,0.0459609326481383,0.00143929304078146,0.00525435006149935,0.000681686945952122,0.240373003803494,0.000613815357676189,0.141193371819261,0.00695085923467799,0.00373456222087493,0.000905709142209303,0.0123663065115056,0.00826047239370483,0.00578186458973657
CHD9,0.00168479789897913,0.0694776188876938,0.0599092899346061,0.03020504658267,0.000567102671041365,0.000735553451182057,0.0171256564504686,1,0.00269417559998091,0.0143096534858032,0.00825050953377549,0.00484378327656314,0.00758457106387643,0.000295421580975223,0.0740678419513302,0.0060609207139875,0.00122850984390977,0.112247672789124,0.0187912488216553,0.00123693408702483,0.000372249851048627,0.000257850263390252,0.000864425788985937,0.022107515638925,0.0531599702043452,0.00320454914771582,0.00781564356391582,0.00670895348423782,0.00888238442277178,0.0193017054088034,0.00299426053525604,0.00856619460492335,0.0862771700817117,0.0929919486514045,0.0340830150411853,0.0338825140773215,0.113605832055445,0.102337453084067,0.00705664095191541,0.0449209315139841,0.00686544448343704,0.00345617397954051,0.000839584864585887,0.0522673703797965,0.0129339503784682,0.00233672003290046,0.0708232794942551,0.0786348427940107,0.00298560053091684,0.0142821002868138,0.0312874013922574,0.000603708917696833,0.11637843029526,0.0225612898714349,0.021581161447119,0.000178387498409967,0.0650436139796381,0.0238622969007362,0.0819849440923409,0.000211303470732056,0.014396273531951,0.00208431554356708,0.0943049442864343,0.000361916264841125,0.109400126002112,0.0263863467274073,0.0161902593623828,0.00614586372979203,0.0515410137327707,0.00275436212633492,0.00625360967483566
CNR1,0.00183902084429308,0.010979115274687,0.00464315508947807,0.00441527921952968,0.00394581482394336,0.0038322326461965,0.0155719198252909,0.00269417559998091,1,0.0206870177498989,0.000652571118591735,0.000447680549563935,0.00323795985947783,0.00846915952726795,0.0132131296163929,0.0036898330338352,0.00215217997550304,0.0328726574249785,0.00107088895285323,0.00743185507153376,0.000227485742101493,0.000245481304766634,0.00014878035328376,0.00700702048457751,0.00860901804572528,0.00185074336726392,0.0334837347838956,0.0188133415411762,0.00557518195068802,0.00571230545626095,0.00345304407053548,0.00719935341350506,0.028638671925407,0.0308167526623319,0.00761982545530703,0.00359726517845183,0.0296391960329908,0.0258412718853915,0.00212645844127013,0.0135174138206163,0.0156475631354355,0.00384396440907083,0.000152730773963721,0.00964793988139247,0.00714888743067128,0.0167262227735745,0.00872769987334292,0.0340906988056849,0.00305674019962812,0.0114918675314698,0.0016120047710954,0.00965597320035834,0.0359324374189904,0.0401476278941288,0.000953042121452795,0.000255806490768748,0.028752023698563,0.013696238264415,0.0276912901535892,0.0051765249054354,0.00431773357505388,0.00202401672865824,0.0357662200424136,0.00325176871815357,0.0195353586834792,0.000496065454671973,0.00159911138970072,0.00241252816206381,0.00484696686078233,0.00344396083776367,0.0456570026215174
CORO1C,0.00305624726911487,0.0562312802947787,0.0310778414425164,0.0171118131210359,0.00403351639519975,0.00250661076985358,0.0148154473990272,0.0143096534858032,0.0206870177498989,1,0.00996771484640471,0.00891614237527802,0.00485040039361059,0.00186417920049693,0.070520474485333,0.00897581279979165,0.00393790562025291,0.0747581684159132,0.00778006883993815,0.00370023794152749,0.000240884579958184,0.00301740811592498,0.000645343478082867,0.038199325821326,0.0365878159239265,0.0038465072737428,0.01681974679571,0.010391490570223,0.0375329865591659,0.0494346090470213,0.0099527298593558,0.0371103176944823,0.0703514360037552,0.0773843613313039,0.0251222206861323,0.0289826356969796,0.0721231689853365,0.0618996715446814,0.00442895768153489,0.0390734862892292,0.0220482101685888,0.0199606757784991,0.00173730615054419,0.0277139189006185,0.0156263174897398,0.0508859821160445,0.0357262828302908,0.069800047923851,0.0376538502175918,0.0308984166469786,0.0108617516333384,0.00344114577468925,0.0907414731479098,0.0399484639418552,0.00577687222704706,0.000620276013017827,0.0518041931774876,0.0466009243842399,0.0568045627756639,0.000922704140781048,0.0387136615376886,0.0165501576825206,0.069649375725768,0.00259492603660302,0.0597706743260832,0.00353064059432143,0.0189297861608996,0.0194625268084285,0.0294028466394933,0.00592167908120543,0.0161655341591204
